figure,figure_png,figure_pdf,source_data,plotting_script,notes
human_UMAP_celltypes,figures/human_UMAP_celltypes.png,figures/human_UMAP_celltypes.pdf,source_data/human_UMAP_celltypes.csv,code/plot_scripts/human_UMAP_celltypes.py,Human gut UMAP colored by major cell type
human_UMAP_condition_overlay,figures/human_UMAP_condition_overlay.png,figures/human_UMAP_condition_overlay.pdf,source_data/human_UMAP_condition_overlay.csv,code/plot_scripts/human_UMAP_condition_overlay.py,Human gut UMAP colored by condition
human_dotplot_markers,figures/human_dotplot_markers.png,figures/human_dotplot_markers.pdf,source_data/human_dotplot_markers.csv,code/plot_scripts/human_dotplot_markers.py,Human marker-gene dot plot
human_death_pathways,figures/human_death_pathways.png,figures/human_death_pathways.pdf,source_data/human_death_pathways.csv,code/plot_scripts/human_death_pathways.py,Human death-pathway effect sizes
human_pyro_vs_ferro_scatter,figures/human_pyro_vs_ferro_scatter.png,figures/human_pyro_vs_ferro_scatter.pdf,source_data/human_pyro_vs_ferro_scatter.csv,code/plot_scripts/human_pyro_vs_ferro_scatter.py,Human pyroptosis versus ferroptosis effect sizes by cell type
human_ferroptosis_by_celltype,figures/human_ferroptosis_by_celltype.png,figures/human_ferroptosis_by_celltype.pdf,source_data/human_ferroptosis_by_celltype.csv,code/plot_scripts/human_ferroptosis_by_celltype.py,Human ferroptosis susceptibility effect sizes by cell type
human_UMAP_quantification,figures/human_UMAP_quantification.png,figures/human_UMAP_quantification.pdf,source_data/human_UMAP_quantification.csv,code/plot_scripts/human_UMAP_quantification.py,Human ferroptosis susceptibility UMAP and epithelial quantification
musDD_UMAP_celltypes,figures/musDD_UMAP_celltypes.png,figures/musDD_UMAP_celltypes.pdf,source_data/musDD_UMAP_celltypes.csv,code/plot_scripts/musDD_UMAP_celltypes.py,musDD UMAP colored by major cell type
musDD_heatmap_markers,figures/musDD_heatmap_markers.png,figures/musDD_heatmap_markers.pdf,source_data/musDD_heatmap_markers.csv,code/plot_scripts/musDD_heatmap_markers.py,musDD marker-gene heatmap
musDD_UMAP_condition_overlay,figures/musDD_UMAP_condition_overlay.png,figures/musDD_UMAP_condition_overlay.pdf,source_data/musDD_UMAP_condition_overlay.csv,code/plot_scripts/musDD_UMAP_condition_overlay.py,musDD UMAP colored by condition
musDD_death_pathways,figures/musDD_death_pathways.png,figures/musDD_death_pathways.pdf,source_data/musDD_death_pathways.csv,code/plot_scripts/musDD_death_pathways.py,musDD death-pathway effect sizes
musDD_ferroptosis_by_celltype,figures/musDD_ferroptosis_by_celltype.png,figures/musDD_ferroptosis_by_celltype.pdf,source_data/musDD_ferroptosis_by_celltype.csv,code/plot_scripts/musDD_ferroptosis_by_celltype.py,musDD ferroptosis susceptibility effect sizes by cell type
