celltype,pyro_d,ferro_d,is_epi
Stem/TA,0.409271982235583,0.1135162822517831,True
Enterocytes,0.5328099940383049,0.1978823032923028,True
Goblet,0.6822863846213224,0.049730986724703,True
Enteroendocrine,0.8256888171119603,0.2914461003831665,True
Tuft,0.9124736513670738,0.3418168563610956,True
CD8+ T cells,0.2215521812016269,-0.248285467087009,False
CD4+ T cells,0.8435754845755667,0.2272231948929624,False
B cells,0.8461532141286509,-0.1928145355742317,False
Plasma,0.8414572976511593,-0.2505462166469477,False
Myeloid,1.08771119405756,-0.3087286436002852,False
