celltype,cohens_d,p_value,HC_mean,SLE_mean,HC_n_cells,SLE_n_cells,is_epithelial,p_adj,sig
Myeloid,-0.4659777352293761,0.032094292843635,-0.4636454378221544,-0.8727487157602397,62,25,False,0.0802357321090875,ns
Plasma,-0.4595574750353138,0.1858542850263014,-0.8829392852399269,-1.1330961397205837,16,25,False,0.3097571417105024,ns
Goblet,-0.2018587673173087,0.2816273623802954,-0.0228075566029815,-0.229917147161582,664,26,True,0.402324803400422,ns
CD4+ T cells,0.0,1.0,-0.926672288931498,-0.4663920366030162,5,3,False,1.0,ns
CD8+ T cells,0.0693162015016793,0.1099599195188093,-0.4399588702173145,-0.3833596267882396,1155,1085,False,0.2199198390376186,ns
B cells,0.0865988501524592,0.3305593083964485,-0.212113634374558,-0.1371041193452906,428,328,False,0.4131991354955606,ns
Enteroendocrine,0.1265259744523642,0.5506216352174628,-0.2902708705662759,-0.1488899974161186,69,26,True,0.6118018169082919,ns
Stem/TA,0.3001322259606552,5.90510934564804e-07,-0.7961880607789273,-0.5033423208125892,3059,347,True,2.9525546728240197e-06,***
Enterocytes,0.403645029410127,5.3036785008832405e-92,0.1700751491039519,0.5451932764829749,4993,5586,True,5.303678500883241e-91,***
Tuft,0.5387076037651185,5.838899970533949e-05,-0.4565220293421141,0.136028421847894,199,76,True,0.0001946299990177,***
